registry_id,primary_name,location_address,city_name,county_name,fips_code,state_code,postal_code,latitude83,longitude83,huc8_code,accuracy_value,collect_mth_desc,ref_point_desc,create_date,update_date,last_reported_date,fac_url,pgm_sys_id,pgm_sys_acrnm,interest_type,program_url,pgm_report_url,public_ind,active_status,federal_agency_name,huc_12,federal_land_ind,fed_facility_code,epa_region_code,key_field,pwsid,facility_id,state_reported,state_intersection
110013100571,BALTIMORE TERRACE-TREATMENT PLANT TAP,122 NORTH WHEATON AVENUE,WHEATON,BARRY,17043,IL,60187,41.865592,-88.109901,07120004,50,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,2002-10-30T18:46:48Z,2020-05-10T12:50:45Z,NA,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110013100571,MI0040041,SFDW,COMMUNITY WATER SYSTEM,NA,no data yet,Y,ACTIVE,NA,NA,NA,N,NA,SFDWMI0040041,MI0040041,NA,MI,IL
110013100571,BALTIMORE TERRACE-TREATMENT PLANT TAP,122 NORTH WHEATON AVENUE,WHEATON,BARRY,17043,IL,60187,41.865592,-88.109901,07120004,50,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,2012-10-27T10:52:46Z,2020-05-10T12:52:34Z,NA,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110013100571,MI0040041 5660,SFDW,WATER TREATMENT PLANT,NA,no data yet,Y,ACTIVE,NA,NA,NA,NA,05,SFDWMI0040041 5660,MI0040041,5660,MI,IL
110053824233,COUNTRY BOYS RV PARK-2750 EATONTON RD/LOT 17 PLANT 1,110 TERRA VISTA RANCH ROAD,VICTORIA,MORGAN,NA,TX,77904,28.881249999999998,-97.02378499999999,12100204,50,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,2012-10-26T13:45:15Z,2020-05-10T12:39:02Z,NA,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110053824233,GA2110019 15614,SFDW,WATER TREATMENT PLANT,NA,no data yet,Y,ACTIVE,NA,NA,NA,NA,06,SFDWGA2110019 15614,GA2110019,15614,GA,TX
110054613263,OXBOW DAM,49669 BROWNLEE-OXBOW HWY,OXBOW,BAKER,41001,OR,97840,44.970954,-116.834965,17050201,367,NA,NA,2012-10-26T14:08:31Z,2020-05-10T12:44:49Z,NA,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110054613263,OR4194284 1224,SFDW,WATER TREATMENT PLANT,NA,no data yet,Y,INACTIVE,NA,NA,NA,NA,10,SFDWOR4194284 1224,OR4194284,1224,OR,ID
110054613263,OXBOW DAM,49669 BROWNLEE-OXBOW HWY,OXBOW,BAKER,41001,OR,97840,44.970954,-116.834965,17050201,367,NA,NA,2012-10-27T00:47:02Z,2020-05-10T12:49:31Z,NA,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110054613263,OR4194284,SFDW,NON-TRANSIENT NON-COMMUNITY WATER SYSTEM,NA,no data yet,Y,ACTIVE,NA,NA,NA,N,NA,SFDWOR4194284,OR4194284,NA,OR,ID
110053824233,COUNTRY BOYS RV PARK-2750 EATONTON RD/LOT 17 PLANT 1,110 TERRA VISTA RANCH ROAD,VICTORIA,MORGAN,NA,TX,77904,28.881249999999998,-97.02378499999999,12100204,50,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,2012-10-27T16:54:29Z,2020-05-10T12:42:41Z,NA,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110053824233,GA2110019,SFDW,TRANSIENT NON-COMMUNITY WATER SYSTEM,NA,no data yet,Y,ACTIVE,NA,NA,NA,N,NA,SFDWGA2110019,GA2110019,NA,GA,TX
110033177185,SALT RIVER LANDFILL,10005 EAST OSBORNE ROAD,SCOTTSDALE,MARICOPA,04013,AZ,85256-4019,33.487741,-111.865283,15060106,50,ADDRESS MATCHING-HOUSE NUMBER,ENTRANCE POINT OF A FACILITY OR STATION,2008-02-25T13:59:32Z,NA,2008-02-25T13:59:32Z,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110033177185,090400694,STATE,DRINKING WATER PROGRAM,NA,no data yet,Y,NA,NA,NA,NA,NA,09,STATE090400694,090400694,NA,09,AZ
110052648159,CULLIGAN STORE SOL OF IND CO-SERIAL # A30723,2300 WINDY RIDGE PARKWAY,ATLANTA,INDIANA,13067,GA,30339,33.904939999999996,-84.45979,03130001,30,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,2012-10-26T17:44:33Z,2020-05-10T12:46:10Z,NA,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110052648159,PA5326383 300,SFDW,WATER TREATMENT PLANT,NA,no data yet,Y,ACTIVE,NA,NA,NA,NA,04,SFDWPA5326383 300,PA5326383,300,PA,GA
110012825675,MURDOCK WATER SYSTEM,KLICKITAT AVE,LYLE,KLICKITAT,53039,WA,98635,45.654852,-121.18863,17070105,362,INTERPOLATION-PHOTO,FACILITY CENTROID,2020-05-10T00:00:00Z,NA,NA,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110012825675,WA5300682 5429,SFDW,WATER TREATMENT PLANT,NA,no data yet,Y,ACTIVE,NA,NA,NA,NA,10,SFDWWA5300682 5429,WA5300682,5429,WA,OR
110071196132,ANCHORS POINT COA-WELL #1 TREATMENT,7000 TOWER TERRACE RD,CEDAR RAPIDS,NA,NA,IA,52411-0000,42.07342,-91.73371999999999,07080205,30,ADDRESS MATCHING-HOUSE NUMBER,CENTER OF A FACILITY OR STATION,2022-01-27T00:00:00Z,NA,NA,https://ofmpub.epa.gov/frs_public2/fii_query_detail.disp_program_facility?p_registry_id=110071196132,MO5036327 108076,SFDW,WATER TREATMENT PLANT,NA,no data yet,Y,NA,NA,NA,NA,NA,07,SFDWMO5036327 108076,MO5036327,108076,MO,IA
