object_id,mhp_id,mhp_name,address,city,state_reported,zipcode,zip4,telephone,type,status,county,county_fips,country,latitude,longitude,naics_code,naics_desc,source,source_date,val_method,val_date,website,units,size,rev_geo_flag,state_intersection
2821,42385,NOT AVAILABLE,1985 RIVIERA BLVD,BULLHEAD CITY,AZ,86442,NOT AVAILABLE,NOT AVAILABLE,MOBILE HOME PARK,NOT AVAILABLE,MOHAVE,04015,USA,35.100901187,-114.621173693,531190,RESIDENTIAL TRAILER PARKS,IMAGERY,2015-03-24 17:00:00,BOTH INTERNET AND IMAGERY,2015-03-24 17:00:00,NOT AVAILABLE,NA,medium (51-100),YES,NV
4798,6137,RIVERLAND RESORT,3401 PARKER DAM RD,EARP,CA,92242,NOT AVAILABLE,(760) 663-3733,RECREATIONAL VEHICLE PARK,OPEN,SAN BERNARDINO,06071,USA,34.194562294,-114.2270767,721211,RECREATIONAL VEHICLE PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,2018-06-05 17:00:00,IMAGERY ONLY,2018-06-03 17:00:00,NOT AVAILABLE,NA,medium (51-100),NO,AZ
5006,6417,NEEDLES MARINA PARK,100 MARINA DR,NEEDLES,CA,92363,NOT AVAILABLE,(760) 326-2197,RECREATIONAL VEHICLE PARK,OPEN,SAN BERNARDINO,06071,USA,34.8469324810001,-114.60490713,721211,RECREATIONAL VEHICLE PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,2018-06-05 17:00:00,IMAGERY ONLY,2013-07-24 17:00:00,NOT AVAILABLE,NA,medium (51-100),NO,AZ
5009,6422,VERDE SHORES MOBILE RESIDENTIAL PK,578 BEACH DR,NEEDLES,CA,92363,NOT AVAILABLE,(760) 326-2672,MOBILE HOME PARK,OPEN,SAN BERNARDINO,06071,USA,34.840024342,-114.59315633,531190,MOBILE (MANUFACTURED) HOME PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,2018-06-05 17:00:00,IMAGERY ONLY,2013-07-24 17:00:00,NOT AVAILABLE,88,medium (51-100),NO,AZ
7886,10080,WESTSIDE MHP,17630 STATE LINE RD,TULELAKE,CA,96134,NOT AVAILABLE,(530) 667-5225,MOBILE HOME PARK,OPEN,KLAMATH,41035,USA,41.998598676,-121.558780598,531190,RESIDENTIAL TRAILER PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,2018-06-05 17:00:00,IMAGERY ONLY,2013-07-24 17:00:00,NOT AVAILABLE,12,small (<50),NO,OR
7961,17125,BLUE RIDGE MHP,227 MONTROSE DRIVE,CONKLIN,NY,13748,NOT AVAILABLE,(607) 775-5953,MOBILE HOME PARK,OPEN,BROOME,36007,USA,41.999813558,-75.7923991819999,531190,RESIDENTIAL TRAILER PARKS,FROM CENSUS BLOCKS IDENTIFIED BY THE U.S. CENSUS BUREAU DURING THE 2010 CENSUS TO CONTAIN 10 OR MORE MOBILE HOMES/TRAILERS.,2013-04-22 17:00:00,IMAGERY ONLY,2013-08-28 17:00:00,NOT AVAILABLE,NA,small (<50),NO,PA
8037,6138,RIO DEL COLORADO,CROSSROADS PO BX 1128,EARP,CA,92242,NOT AVAILABLE,(619) 663-4941,MOBILE HOME PARK,OPEN,SAN BERNARDINO,06071,USA,34.262823548,-114.162042449,531190,MOBILE (MANUFACTURED) HOME PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,2018-06-05 17:00:00,BOTH INTERNET AND IMAGERY,2013-07-24 17:00:00,NOT AVAILABLE,128,large (>100),NO,AZ
8045,6202,ECHO LODGE RESORT,11 MI N OF EARP,PARKER DAM,CA,92267,NOT AVAILABLE,(619) 367-6414,MOBILE HOME PARK,OPEN,SAN BERNARDINO,06071,USA,34.250103203,-114.174774838,531190,MOBILE (MANUFACTURED) HOME PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,2018-06-05 17:00:00,IMAGERY ONLY,2013-07-24 17:00:00,NOT AVAILABLE,245,large (>100),NO,AZ
8046,6203,BLACK MEADOW LANDING,156100 BLACKMEADOW ROAD,PARKER DAM,CA,92267,NOT AVAILABLE,(619) 663-4901,RECREATIONAL VEHICLE PARK,OPEN,SAN BERNARDINO,06071,USA,34.3496607220001,-114.19618886,721211,RECREATIONAL VEHICLE PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,2018-06-05 17:00:00,IMAGERY ONLY,2013-07-24 17:00:00,NOT AVAILABLE,NA,large (>100),NO,AZ
8047,6204,SUNSHINE RESORT,1255 PARKER DAM RD,PARKER DAM,CA,92267,NOT AVAILABLE,(760) 663-3098,RECREATIONAL VEHICLE PARK,OPEN,SAN BERNARDINO,06071,USA,34.267557466,-114.135666346,721211,RECREATIONAL VEHICLE PARKS,https://casas2prodwlext2.hcd.ca.gov/casas/cmirMp/list,2018-06-05 17:00:00,BOTH INTERNET AND IMAGERY,2013-07-24 17:00:00,NOT AVAILABLE,NA,medium (51-100),NO,AZ
